Crop_encoded,State_encoded,Season_encoded,Area,Annual_Rainfall,Fertilizer,Pesticide,Yield,Revenue,Actual_ROI,Predicted_ROI,Crop,State,Season
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
3,0,4,105291.0,648.1,9967898.97,26322.75,9202.625556,101228881.11600001,64858.59821607331,64234.53178900257,Coconut ,Andhra Pradesh,Whole Year 
